"","LCmeanDist","snail_ID"
"2",176.0195,"CZA105"
"3",215.0195,"CZA331"
"4",173.0195,"CZA113"
"5",214.0195,"CZA330"
"6",269.0195,"CZA418"
"7",242.0195,"CZA379"
"8",168.0195,"CZA126"
"9",267.0195,"CZA416"
"10",193.0195,"CZA321"
"11",206.0195,"CZA005"
"12",165.0195,"CZA150"
"13",202.0195,"CZA022"
"14",211.0195,"CZA329"
"15",213.0195,"CZA335"
"16",253.0195,"CZA391"
"17",246.0195,"CZA384"
"18",244.0195,"CZA378"
"19",195.0195,"CZA060"
"20",147.0195,"CZA223"
"21",262.0195,"CZA409"
"22",190.0195,"CZA064"
"23",250.0195,"CZA392"
"24",263.0195,"CZA410"
"25",187.0195,"CZA079"
"26",275.0195,"CZA424"
"27",241.0195,"CZA375"
"28",172.0195,"CZA111"
"29",163.0195,"CZA153"
"31",258.0195,"CZA400"
"32",189.0195,"CZA065"
"33",233.0195,"CZA368"
"34",185.0195,"CZA081"
"35",186.0195,"CZA080"
"36",261.0195,"CZA407"
"37",224.0195,"CZA359"
"38",162.0195,"CZA170"
"39",227.0195,"CZA364"
"40",160.0195,"CZA173"
"43",178.0195,"CZA103"
"44",159.0195,"CZA174"
"45",199.0195,"CZA043"
"46",236.0195,"CZA372"
"47",145.0195,"CZA227"
"49",256.0195,"CZA399"
"50",265.0195,"CZA415"
