snail_ID,sex_tube,brood,penis,trematodes,ciliates_diss,notes,sex_dissection,status_dissection
CZA054,NA,N,N,N,NA,,f,juvenile
CZA075,NA,Y,N,N,NA,,f,
CZA359,NA,Y,N,N,NA,,f,
CZA370,NA,Y,N,N,NA,,f,
CZA342,NA,Y,N,N,NA,,f,
CZA575,NA,Y,N,N,NA,,f,
CZA076,NA,Y,N,N,NA,,f,
CZA595,NA,Y,N,N,NA,,f,
CZA097,NA,N,N,N,NA,,f,juvenile
CZA418,NA,Y,N,N,NA,,f,
CZA014,NA,N,N,N,NA,,f,juvenile
CZA206,NA,Y,N,N,NA,,f,
CZA082,NA,Y,N,N,NA,,f,
CZA523,NA,Y,N,N,NA,,f,
CZA249,NA,N,N,N,NA,,f,juvenile
CZA460,NA,Y,N,N,NA,,f,
CZA086,NA,Y,N,N,NA,,f,
CZA236,NA,Y,N,N,NA,,f,
CZA059,NA,Y,N,N,NA,,f,
CZA609,NA,Y,N,N,NA,,f,
CZA284,NA,N,small,N,NA,,m,juvenile
CZA549,NA,Y,N,N,NA,,f,
CZA606,NA,Y,N,N,NA,three eyes,f,
CZA149,NA,Y,N,N,NA,,f,
CZA389,NA,Y,N,N,NA,,f,
CZA544,NA,Y,N,N,NA,few embryos,f,
CZA534,NA,Y,N,N,NA,,f,
CZA156,NA,N,N,N,NA,,f,juvenile
CZA538,NA,Y,N,N,NA,,f,
CZA332,NA,Y,N,N,NA,,f,
CZA605,NA,Y,N,N,NA,,f,
CZA620,NA,Y,N,N,NA,,f,
CZA203,NA,N,N,N,NA,,f,juvenile
CZA598,NA,Y,N,N,NA,,f,
CZA517,NA,Y,N,N,NA,2-3 embryos,f,
CZA446,NA,Y,N,N,NA,,f,
CZA196,NA,Y,N,N,NA,,f,
CZA154,NA,N,small,Y,NA,sterile,m,parasitized
CZA562,NA,Y,N,N,NA,,f,
CZA623,NA,Y,N,N,NA,,f,
CZA027,NA,Y,N,N,NA,,f,
CZA354,NA,Y,N,N,NA,,f,
