"","snail_ID","X","Y","Z","Env","LCmeanDist"
"7","CZA001",1990.115,2002.527,199.469,"SN",205.033064444961
"9","CZA002",1991.435,2002.033,199.428,"SN",205.210501643628
"10","CZA003",1992.545,2002.081,199.334,"SN",205.235902927428
"11","CZA004",1993.902,2002.236,199.35,"SN",205.898788764964
"12","CZA005",1994.574,2001.816,199.35,"SN",206.02202781489
"13","CZA006",1995.683,2002.032,199.349,"SN",207.720712745994
"14","CZA007",1996.576,2001.185,199.334,"SN",206.893315565597
"15","CZA008",1997.744,2001.063,199.52,"SN",207.951634230917
"16","CZA009",1995.428,2000.672,199.348,"SN",205.991154046684
"17","CZA010",1994.663,2000.785,199.337,"SN",205.701271183784
"18","CZA011",1993.645,2000.772,199.635,"SN",205.573911358487
"19","CZA012",1992.37,2001.678,199.335,"SN",205.310415492055
"20","CZA013",1991.91,2001.188,199.339,"SN",205.328617349627
"21","CZA014",1990.75,2001.66,199.479,"SN",205.161976801808
"22","CZA015",1990.262,2001.265,199.456,"SN",205.075872123155
"23","CZA016",1991.217,2000.342,199.423,"SN",205.189886779682
"24","CZA017",1992.039,2000.445,199.346,"SN",205.282541119298
"25","CZA018",1992.684,2000.451,199.391,"SN",205.344731804435
"26","CZA019",1994.239,2000.543,199.275,"SN",205.565096121766
"27","CZA020",1995.177,1999.897,199.293,"SN",205.303743242208
"28","CZA021",1996.123,1999.03,199.345,"SN",204.201891396405
"29","CZA022",1997.245,1998.501,199.395,"SN",202.305770460103
"30","CZA023",1998.032,1998.488,199.313,"SN",202.240448938141
"31","CZA024",1999.148,1998.091,199.301,"SN",202.14422464197
"32","CZA025",2000.084,1997.515,199.424,"SN",202.005144203837
"33","CZA026",2000.735,1997.16,199.451,"SN",201.915637035902
"34","CZA027",2000.139,1995.782,199.336,"SN",201.779695503124
"35","CZA028",1996.958,1997.656,199.317,"SN",202.382913609865
"36","CZA029",1996.268,1997.298,199.344,"SN",202.372252686432
"37","CZA030",1995.628,1997.402,199.336,"SN",202.593269377194
"38","CZA031",1995.186,1998.187,199.624,"SN",203.245313402735
"39","CZA032",1994.133,1998.607,199.392,"SN",203.223347710337
"40","CZA033",1993.119,1998.681,199.389,"SN",200.94087083726
"41","CZA034",1991.762,1999.273,199.585,"SN",205.065260679635
"42","CZA035",1991.092,1999.595,199.392,"SN",205.121059615974
"43","CZA036",1990.68,1998.586,199.46,"SN",204.992008979133
"44","CZA037",1992.769,1998.053,199.392,"SN",201.006089562531
"45","CZA038",1993.046,1997.355,199.414,"SN",201.067369201416
"46","CZA039",1994.228,1997.012,199.401,"SN",201.216937058763
"47","CZA040",1994.867,1996.463,199.35,"SN",201.268617749583
"48","CZA041",1995.61,1996.656,199.325,"SN",201.835007942811
"49","CZA042",1996.438,1996.505,199.38,"SN",201.268617749583
"50","CZA043",1997.555,1995.199,199.357,"SN",199.709803178621
"51","CZA044",1999.786,1994.499,199.363,"SN",197.01147969207
"52","CZA045",2000.19,1993.467,199.367,"SN",196.062970544274
"53","CZA046",1997.859,1994.376,199.263,"SN",199.496832359947
"54","CZA047",1996.828,1994.969,199.342,"SN",199.610054265408
"55","CZA048",1996.033,1995.16,199.332,"SN",199.852756223019
"56","CZA049",1995.385,1995.589,199.34,"SN",200.5103563152
"57","CZA050",1994.6,1995.782,199.368,"SN",200.405810854612
"58","CZA051",1993.614,1996.94,199.415,"SN",201.1396678951
"59","CZA052",1991.56,1997.133,199.569,"SN",201.372733299449
"60","CZA053",1990.052,1998.482,199.427,"SN",204.936868513562
"61","CZA054",1991.52,1997.18,199.458,"SN",201.372733299449
"62","CZA055",1992.734,1996.604,199.522,"SN",201.052486772565
"63","CZA056",1993.754,1996.852,199.432,"SN",201.165353383408
"64","CZA057",1994.287,1995.37,199.368,"SN",200.142936198029
"65","CZA058",1995.037,1994.273,199.31,"SN",198.680197064668
"66","CZA059",1995.568,1993.26,199.246,"SN",197.460090897646
"67","CZA060",1997.189,1992.578,199.633,"SN",195.630562217953
"68","CZA061",1997.878,1991.881,199.404,"SN",194.663420052673
"69","CZA062",1999.809,1990.031,199.223,"SN",191.896535847588
"70","CZA063",2002.073,1990.173,199.423,"SN",191.884143600012
"71","CZA064",1998.831,1988.756,199.544,"SN",190.325800650894
"72","CZA065",1997.97,1988.797,199.257,"SN",189.568783764571
"73","CZA066",1996.587,1990.082,199.266,"SN",192.11866225804
