sample	unit	fq1	fq2
CZA003	160329_D00248_0160_BC8TGVANXX_7_SX-PE-081	CZA003_160329_D00248_0160_BC8TGVANXX_7_SX-PE-081_1.fastq.gz	CZA003_160329_D00248_0160_BC8TGVANXX_7_SX-PE-081_2.fastq.gz
CZA005	160303_D00248_0155_AC6K7AANXX_6_SX-PE-008	CZA005_160303_D00248_0155_AC6K7AANXX_6_SX-PE-008_1.fastq.gz	CZA005_160303_D00248_0155_AC6K7AANXX_6_SX-PE-008_2.fastq.gz
CZA008	160329_D00248_0160_BC8TGVANXX_7_SX-PE-093	CZA008_160329_D00248_0160_BC8TGVANXX_7_SX-PE-093_1.fastq.gz	CZA008_160329_D00248_0160_BC8TGVANXX_7_SX-PE-093_2.fastq.gz
CZA009	160325_D00248_0159_AC8TGPANXX_7_SX-PE-062	CZA009_160325_D00248_0159_AC8TGPANXX_7_SX-PE-062_1.fastq.gz	CZA009_160325_D00248_0159_AC8TGPANXX_7_SX-PE-062_2.fastq.gz
CZA012	160329_D00248_0160_BC8TGVANXX_7_SX-PE-038	CZA012_160329_D00248_0160_BC8TGVANXX_7_SX-PE-038_1.fastq.gz	CZA012_160329_D00248_0160_BC8TGVANXX_7_SX-PE-038_2.fastq.gz
CZA015	160329_D00248_0160_BC8TGVANXX_7_SX-PE-005	CZA015_160329_D00248_0160_BC8TGVANXX_7_SX-PE-005_1.fastq.gz	CZA015_160329_D00248_0160_BC8TGVANXX_7_SX-PE-005_2.fastq.gz
CZA017	160325_D00248_0159_AC8TGPANXX_7_SX-PE-013	CZA017_160325_D00248_0159_AC8TGPANXX_7_SX-PE-013_1.fastq.gz	CZA017_160325_D00248_0159_AC8TGPANXX_7_SX-PE-013_2.fastq.gz
CZA018	160303_D00248_0155_AC6K7AANXX_6_SX-PE-049	CZA018_160303_D00248_0155_AC6K7AANXX_6_SX-PE-049_1.fastq.gz	CZA018_160303_D00248_0155_AC6K7AANXX_6_SX-PE-049_2.fastq.gz
CZA019	160329_D00248_0160_BC8TGVANXX_7_SX-PE-040	CZA019_160329_D00248_0160_BC8TGVANXX_7_SX-PE-040_1.fastq.gz	CZA019_160329_D00248_0160_BC8TGVANXX_7_SX-PE-040_2.fastq.gz
CZA020	160303_D00248_0155_AC6K7AANXX_6_SX-PE-060	CZA020_160303_D00248_0155_AC6K7AANXX_6_SX-PE-060_1.fastq.gz	CZA020_160303_D00248_0155_AC6K7AANXX_6_SX-PE-060_2.fastq.gz
CZA021	160303_D00248_0155_AC6K7AANXX_6_SX-PE-076	CZA021_160303_D00248_0155_AC6K7AANXX_6_SX-PE-076_1.fastq.gz	CZA021_160303_D00248_0155_AC6K7AANXX_6_SX-PE-076_2.fastq.gz
CZA023	160303_D00248_0155_AC6K7AANXX_6_SX-PE-091	CZA023_160303_D00248_0155_AC6K7AANXX_6_SX-PE-091_1.fastq.gz	CZA023_160303_D00248_0155_AC6K7AANXX_6_SX-PE-091_2.fastq.gz
CZA024	160329_D00248_0160_BC8TGVANXX_7_SX-PE-054	CZA024_160329_D00248_0160_BC8TGVANXX_7_SX-PE-054_1.fastq.gz	CZA024_160329_D00248_0160_BC8TGVANXX_7_SX-PE-054_2.fastq.gz
